playID,gameId,year,week,offenseAbbr,defenseAbbr,quarter,clock,type,down,distance,yardLine,yardsGained
400763463_12_1,400763463,2015,13,TTU,TEX,2,00:10:10,Rush,1,10,50,6
400763463_12_2,400763463,2015,13,TTU,TEX,2,00:09:39,Rush,2,4,44,14
400763463_12_3,400763463,2015,13,TTU,TEX,2,00:09:10,Pass Incompletion,1,10,30,0
400763463_12_5,400763463,2015,13,TTU,TEX,2,00:08:30,Pass Incompletion,3,14,34,0
400763463_14_0,400763463,2015,13,TTU,TEX,2,00:07:29,Rush,1,10,61,8
400763463_14_1,400763463,2015,13,TTU,TEX,2,00:06:56,Rush,2,2,53,10
400763463_14_2,400763463,2015,13,TTU,TEX,2,00:06:50,Rush,1,10,43,3
400763463_14_3,400763463,2015,13,TTU,TEX,2,00:06:30,Pass Incompletion,2,7,40,0
400763463_14_4,400763463,2015,13,TTU,TEX,2,00:06:23,Pass Incompletion,3,7,40,0
400763463_16_1,400763463,2015,13,TTU,TEX,2,00:05:45,Pass Incompletion,1,10,53,0
400763463_16_2,400763463,2015,13,TTU,TEX,2,00:05:33,Rush,2,10,53,8
400763463_16_4,400763463,2015,13,TTU,TEX,2,00:04:33,Pass Incompletion,3,7,50,0
400763463_18_0,400763463,2015,13,TTU,TEX,2,00:03:02,Rush,1,10,34,14
400763463_18_1,400763463,2015,13,TTU,TEX,2,00:02:47,Rush,1,10,20,1
400763463_18_2,400763463,2015,13,TTU,TEX,2,00:02:21,Rush,2,9,19,16
400763463_18_3,400763463,2015,13,TTU,TEX,2,00:02:07,Rush,1,3,3,2
400763463_18_4,400763463,2015,13,TTU,TEX,2,00:01:48,Rushing Touchdown,2,0,1,1
400763463_20_0,400763463,2015,13,TTU,TEX,2,00:00:45,Rush,1,10,73,6
400763463_20_1,400763463,2015,13,TTU,TEX,2,00:00:21,Rush,2,4,67,9
400763463_20_2,400763463,2015,13,TTU,TEX,2,00:00:15,Pass Reception,1,10,58,5
400763463_20_4,400763463,2015,13,TTU,TEX,2,00:00:08,Rush,2,5,53,4
400763463_20_5,400763463,2015,13,TTU,TEX,2,00:00:03,Pass Reception,3,1,49,9
400763463_22_0,400763463,2015,13,TTU,TEX,3,00:11:23,Rush,1,10,91,18
400763463_22_1,400763463,2015,13,TTU,TEX,3,00:11:10,Pass Incompletion,1,10,73,0
400763463_22_2,400763463,2015,13,TTU,TEX,3,00:10:52,Rush,2,10,73,8
400763463_22_3,400763463,2015,13,TTU,TEX,3,00:10:26,Rush,3,2,65,3
400763463_22_4,400763463,2015,13,TTU,TEX,3,00:09:59,Rush,1,10,62,4
400763463_22_5,400763463,2015,13,TTU,TEX,3,00:09:35,Pass Reception,2,6,58,19
400763463_22_6,400763463,2015,13,TTU,TEX,3,00:09:11,Rush,1,10,39,4
400763463_22_8,400763463,2015,13,TTU,TEX,3,00:08:31,Pass Incompletion,2,16,45,0
400763463_22_9,400763463,2015,13,TTU,TEX,3,00:08:21,Pass Reception,3,16,45,31
400763463_22_10,400763463,2015,13,TTU,TEX,3,00:08:12,Pass Incompletion,1,10,14,0
400763463_22_11,400763463,2015,13,TTU,TEX,3,00:08:06,Rush,2,10,14,12
400763463_22_12,400763463,2015,13,TTU,TEX,3,00:07:58,Rushing Touchdown,1,0,2,2
400763463_24_0,400763463,2015,13,TTU,TEX,3,00:06:29,Pass Incompletion,1,10,71,0
400763463_26_1,400763463,2015,13,TTU,TEX,3,00:05:33,Pass Reception,1,10,70,1
400763463_26_2,400763463,2015,13,TTU,TEX,3,00:05:06,Pass Reception,2,9,69,59
400763463_26_3,400763463,2015,13,TTU,TEX,3,00:04:45,Rush,1,10,10,1
400763463_26_4,400763463,2015,13,TTU,TEX,3,00:04:26,Rush,2,9,9,-3
400763463_28_1,400763463,2015,13,TTU,TEX,3,00:01:25,Rush,1,10,75,7
400763463_28_2,400763463,2015,13,TTU,TEX,3,00:01:09,Pass Reception,2,3,68,14
400763463_28_3,400763463,2015,13,TTU,TEX,3,00:00:43,Pass Reception,1,10,54,6
400763463_28_4,400763463,2015,13,TTU,TEX,3,00:00:18,Rush,2,4,48,14
400763463_28_5,400763463,2015,13,TTU,TEX,3,00:00:03,Rush,1,10,34,17
400763463_28_7,400763463,2015,13,TTU,TEX,4,00:15:00,Rush,1,10,17,1
400763463_28_8,400763463,2015,13,TTU,TEX,4,00:14:29,Rushing Touchdown,2,9,16,16
400763463_30_1,400763463,2015,13,TTU,TEX,4,00:10:59,Rush,1,10,75,20
400763463_30_2,400763463,2015,13,TTU,TEX,4,00:10:30,Rush,1,10,55,5
400763463_30_3,400763463,2015,13,TTU,TEX,4,00:09:42,Rush,2,5,50,-2
400763463_30_4,400763463,2015,13,TTU,TEX,4,00:09:20,Pass Incompletion,3,7,52,0
400763463_32_1,400763463,2015,13,TTU,TEX,4,00:07:45,Rush,1,10,75,3
400763463_32_2,400763463,2015,13,TTU,TEX,4,00:07:28,Pass Reception,2,7,72,15
400763463_32_3,400763463,2015,13,TTU,TEX,4,00:07:17,Rush,1,10,57,10
400763463_32_4,400763463,2015,13,TTU,TEX,4,00:07:05,Pass Reception,1,10,47,6
400763463_32_5,400763463,2015,13,TTU,TEX,4,00:06:27,Pass Reception,2,4,41,40
400763463_32_6,400763463,2015,13,TTU,TEX,4,00:06:18,Rushing Touchdown,1,0,1,1
400763463_34_0,400763463,2015,13,TTU,TEX,4,00:02:41,Rushing Touchdown,1,10,40,40
400763463_36_1,400763463,2015,13,TTU,TEX,4,00:01:55,Rush,1,10,57,3
